COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;HABITANTES;HOMBRES;MUJERES;TOTAL_PARO;H25;H25_44;H45;M25;M25_44;M45;AGRICULTURA;INDUSTRIA;CONSTRUCCION;SERVICIOS;SINEMPLEOANTERIOR;AÑO;EDAD_MEDIA;de0-18;de19-67;masde68;de0-12
01901000000;01245;01;ARABA/ÁLAVA;IRUÑA OKA/IRUÑA DE OCA;5325.0072;35113.0;-2.8147543;42.81819126;502.0;3264.0;1683.0;1581.0;184;8;29;35;4;55;53;7;27;6;112;32;2017;39.69209559;750;2175;339;519
01902000000;01305;01;ARABA/ÁLAVA;LANTARÓN;6748.9609;63204.0;-2.96649719;42.71657557;482.0;899.0;502.0;397.0;27;0;2;8;0;6;11;1;2;2;19;3;2017;48.67630701;119;595;185;74
02001000000;02010;02;ALBACETE;ABENGIBRE;3076.9225;25257.0;-1.54384487;39.2100078;634.0;748.0;359.0;389.0;40;2;6;10;2;8;12;13;4;3;18;2;2017;51.79946524;54;492;202;30
02002000000;02020;02;ALBACETE;ALATOZ;6385.5135;37232.0;-1.36097604;39.09494843;858.0;555.0;309.0;246.0;52;2;10;8;1;11;20;3;4;24;19;2;2017;52.59459459;66;303;186;43
02003000000;02001;02;ALBACETE;ALBACETE;112702.38;249581.0;-1.85574745;38.99588053;681.0;172816.0;84507.0;88309.0;15162;738;2631;2615;715;4225;4238;782;1271;870;10635;1604;2017;41.58705791;33063;115620;24133;22022
02004000000;02030;02;ALBACETE;ALBATANA;3052.2595;22578.0;-1.52275248;38.5708754;582.0;698.0;362.0;336.0;54;1;6;8;2;8;29;12;5;2;33;2;2017;51.86532951;76;414;208;46
02005000000;02040;02;ALBACETE;ALBOREA;7205.1825;36259.0;-1.39670449;39.27835442;706.0;697.0;357.0;340.0;78;4;11;20;2;19;22;16;9;7;45;1;2017;50.0;80;433;184;49
02006000000;02050;02;ALBACETE;ALCADOZO;9958.7;53730.0;-1.9802275;38.6489758;925.0;662.0;361.0;301.0;75;0;9;15;2;24;25;9;6;9;48;3;2017;50.32024169;90;373;199;53
02007000000;02060;02;ALBACETE;ALCALÁ DEL JÚCAR;14682.4446;51494.0;-1.42932697;39.1932018;547.0;1202.0;642.0;560.0;83;2;12;23;2;17;27;8;3;0;66;6;2017;51.51331115;119;733;350;82
02008000000;02070;02;ALBACETE;ALCARAZ;37053.3125;289056.0;-2.49034957;38.66425104;953.0;1414.0;721.0;693.0;151;6;27;31;7;40;40;15;6;13;108;9;2017;47.13719943;215;879;320;145
02009000000;02080;02;ALBACETE;ALMANSA;53191.1048;93239.0;-1.09414681;38.86968811;687.0;24566.0;12226.0;12340.0;2341;105;291;360;113;572;900;96;590;78;1321;256;2017;43.52511601;4251;16364;3951;2804
02010000000;02090;02;ALBACETE;ALPERA;17847.2745;56652.0;-1.23080245;38.95969094;852.0;2290.0;1189.0;1101.0;242;10;24;42;7;68;91;37;63;10;116;16;2017;45.369869;388;1393;509;240
02011000000;02100;02;ALBACETE;AYNA;14658.96;65701.0;-2.07053831;38.55217746;696.0;672.0;360.0;312.0;27;1;3;9;0;7;7;6;3;9;9;0;2017;58.31696429;35;357;280;24
02012000000;02110;02;ALBACETE;BALAZOTE;6515.3733;31749.0;-2.15096732;38.88396156;771.0;2350.0;1205.0;1145.0;196;9;27;30;6;67;57;33;31;9;117;6;2017;42.4506383;417;1521;412;252
02013000000;02120;02;ALBACETE;BALSA DE VES;7634.9273;39452.0;-1.19650012;39.26461253;751.0;136.0;80.0;56.0;10;1;0;2;0;2;5;1;2;0;5;2;2017;58.13970588;11;65;60;6
02014000000;02130;02;ALBACETE;EL BALLESTERO;13869.3693;49399.0;-2.45508633;38.84252196;1027.0;414.0;213.0;201.0;28;2;1;1;0;8;16;4;2;-1;20;2;2017;49.07004831;50;264;100;37
02015000000;02140;02;ALBACETE;BARRAX;18983.33;52801.0;-2.20045637;39.0456106;733.0;1872.0;950.0;922.0;233;7;17;32;13;74;90;22;42;8;142;19;2017;43.06036325;335;1216;321;203
02016000000;02150;02;ALBACETE;BIENSERVIDA;9073.437;56309.0;-2.61184243;38.51602097;898.0;615.0;322.0;293.0;95;7;12;22;4;15;35;19;4;5;64;3;2017;49.65528455;57;414;144;33
02017000000;02160;02;ALBACETE;BOGARRA;16601.4619;77106.0;-2.21253636;38.58025427;844.0;908.0;478.0;430.0;107;6;12;31;4;18;36;6;8;54;35;4;2017;56.52973568;76;461;371;56
02018000000;02170;02;ALBACETE;BONETE;12505.526;55720.0;-1.34830324;38.86950589;886.0;1103.0;562.0;541.0;113;4;12;20;7;27;43;24;20;5;54;10;2017;45.96464189;158;726;219;104
02019000000;02180;02;ALBACETE;EL BONILLO;50266.0;154331.0;-2.54023691;38.95012362;1062.0;2852.0;1464.0;1388.0;272;3;22;51;15;59;122;35;16;140;75;6;2017;46.79978962;402;1808;642;206
02020000000;02190;02;ALBACETE;CARCELÉN;7536.3731;38287.0;-1.30876708;39.10231176;911.0;521.0;286.0;235.0;39;1;2;8;2;9;17;1;0;3;34;1;2017;54.63147793;60;258;203;35
02021000000;02200;02;ALBACETE;CASAS DE JUAN NÚÑEZ;8898.2779;42030.0;-1.55799035;39.10160749;704.0;1291.0;679.0;612.0;111;10;14;16;5;30;36;8;6;8;78;11;2017;45.28659954;203;813;275;141
02022000000;02210;02;ALBACETE;CASAS DE LÁZARO;11231.6773;70760.0;-2.23922378;38.7705758;942.0;358.0;203.0;155.0;27;2;3;6;1;6;9;3;4;1;18;1;2017;57.62569832;18;212;128;5
02023000000;02220;02;ALBACETE;CASAS DE VES;12509.4606;67921.0;-1.33454992;39.25946122;707.0;628.0;328.0;300.0;49;3;8;6;2;14;16;4;-1;0;39;6;2017;54.02070064;57;362;209;26
02024000000;02230;02;ALBACETE;CASAS-IBÁÑEZ;10321.9713;56015.0;-1.47129143;39.28701686;708.0;4558.0;2323.0;2235.0;402;10;55;96;20;95;126;83;58;26;202;33;2017;44.2459412;774;2954;830;510
02025000000;02240;02;ALBACETE;CAUDETE;14160.7632;49636.0;-0.9886912;38.70573009;554.0;10010.0;5091.0;4919.0;1012;42;137;172;60;277;324;76;145;78;609;104;2017;42.77272727;1887;6475;1648;1253
02026000000;02250;02;ALBACETE;CENIZATE;6326.0153;35204.0;-1.66113349;39.30332101;706.0;1192.0;603.0;589.0;109;3;10;21;6;28;41;26;6;4;70;3;2017;44.2852349;210;738;244;140
02027000000;02260;02;ALBACETE;CORRAL-RUBIO;9475.5686;42347.0;-1.4608525;38.83500072;870.0;342.0;184.0;158.0;18;-1;4;2;-1;4;8;2;-1;1;12;3;2017;51.59356725;38;199;105;24
02028000000;02270;02;ALBACETE;COTILLAS;1446.9288;15802.0;-2.50574545;38.43135915;947.0;130.0;66.0;64.0;14;-1;1;6;1;0;6;4;1;2;6;1;2017;57.79230769;6;81;43;3
02029000000;02280;02;ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;67927.33;163946.0;-1.72602643;38.9210968;907.0;4213.0;2193.0;2020.0;341;22;43;68;12;103;93;24;43;21;221;32;2017;42.25112746;746;2849;618;525
02030000000;02290;02;ALBACETE;ELCHE DE LA SIERRA;23949.4125;84011.0;-2.04781376;38.44790893;630.0;3666.0;1840.0;1826.0;503;21;63;87;25;128;179;32;39;37;377;18;2017;45.24113475;578;2361;727;389
02031000000;02300;02;ALBACETE;FÉREZ;12614.1544;56948.0;-2.00953934;38.35567013;682.0;678.0;338.0;340.0;94;1;13;19;3;24;34;8;4;46;35;1;2017;49.85840708;97;389;192;57
02032000000;02310;02;ALBACETE;FUENSANTA;2395.6454;26368.0;-2.06725219;39.24466001;693.0;313.0;174.0;139.0;36;4;4;9;3;7;9;6;4;2;22;2;2017;53.15974441;23;188;102;14
02033000000;02320;02;ALBACETE;FUENTE-ÁLAMO;13339.011;45577.0;-1.43170411;38.69314229;820.0;2531.0;1331.0;1200.0;292;16;28;49;20;80;99;54;18;14;179;27;2017;44.30896879;450;1581;500;282
02034000000;02330;02;ALBACETE;FUENTEALBILLA;10829.379;64740.0;-1.54879364;39.26773579;670.0;1843.0;925.0;918.0;157;8;21;36;8;34;50;39;11;3;97;7;2017;45.24525231;291;1171;381;190
02035000000;02340;02;ALBACETE;LA GINETA;13676.75;49650.0;-1.99784496;39.11387916;691.0;2457.0;1258.0;1199.0;208;6;30;40;13;66;53;12;22;14;143;17;2017;42.40740741;427;1669;361;315
02036000000;02350;02;ALBACETE;GOLOSALVO;2817.6676;24505.0;-1.63626863;39.23996013;740.0;110.0;59.0;51.0;13;-1;3;5;-1;1;4;1;2;-1;10;-1;2017;56.8;8;68;34;5
02037000000;02360;02;ALBACETE;HELLÍN;78118.8703;149825.0;-1.70344921;38.51218953;570.0;30184.0;15061.0;15123.0;3386;182;461;523;209;847;1164;690;438;152;1929;177;2017;41.91091307;5769;19819;4596;3626
02038000000;02370;02;ALBACETE;LA HERRERA;6342.58;42320.0;-2.12637236;38.9621774;714.0;341.0;177.0;164.0;37;1;2;8;2;7;17;11;3;-1;23;0;2017;49.91788856;26;230;85;20
02039000000;02380;02;ALBACETE;HIGUERUELA;20545.4904;86388.0;-1.44535609;38.96455026;1041.0;1196.0;619.0;577.0;62;2;7;8;3;14;28;6;1;3;48;4;2017;47.55602007;184;718;294;115
02040000000;02390;02;ALBACETE;HOYA-GONZALO;11457.4972;48066.0;-1.55687053;38.95787352;929.0;643.0;344.0;299.0;46;1;5;10;3;9;18;3;1;5;32;5;2017;49.24416796;81;389;173;48
02041000000;02400;02;ALBACETE;JORQUERA;6797.0751;57182.0;-1.52061391;39.17457441;624.0;378.0;205.0;173.0;37;1;7;9;1;5;14;6;6;5;20;-1;2017;55.48941799;35;202;141;22
